type,ID,MC,SF,CSM,_JWDWZZB__ID,_JWDWZZB__WD,_JWDWZZB__JD,
ZGCS,64236dde-2739-4bd1-83a4-26688454baa8,内蒙古自治区呼伦贝尔市,内蒙古自治区,呼伦贝尔市,64236dde-2739-4bd1-83a4-26688454baa8,49.20736936,119.7647918,
ZGCS,1c1b94a5-46d1-458e-af54-3da66f76ebc3,内蒙古自治区巴彦淖尔市,内蒙古自治区,巴彦淖尔市,1c1b94a5-46d1-458e-af54-3da66f76ebc3,40.73813715,107.4274049,
ZGCS,3b97133a-4531-48b5-a441-4739bb347d5e,内蒙古自治区乌兰察布市,内蒙古自治区,乌兰察布市,3b97133a-4531-48b5-a441-4739bb347d5e,41.0317149,113.090066,
ZGCS,4996f2c4-f577-45b0-94bd-2848d3652e7d,内蒙古自治区锡林郭勒盟,内蒙古自治区,锡林郭勒盟,4996f2c4-f577-45b0-94bd-2848d3652e7d,43.93699281,116.0589977,
ZGCS,55fa6371-8d60-4fa5-9d66-673b9449c1a0,内蒙古自治区兴安盟,内蒙古自治区,兴安盟,55fa6371-8d60-4fa5-9d66-673b9449c1a0,46.06875938,122.0636087,
ZGCS,00a06604-3238-4433-9e76-01c1036dd164,内蒙古自治区阿拉善盟,内蒙古自治区,阿拉善盟,00a06604-3238-4433-9e76-01c1036dd164,38.83343297,105.6624917,
ZGCS,a49bae9c-5d48-44ca-90c4-be853ff4afe0,陕西省西安市,陕西省,西安市,a49bae9c-5d48-44ca-90c4-be853ff4afe0,34.26591218,108.883189,
ZGCS,fc2daaa6-79e3-4d83-91b6-5d9418edc1e6,陕西省铜川市,陕西省,铜川市,fc2daaa6-79e3-4d83-91b6-5d9418edc1e6,35.07259585,109.0678021,
ZGCS,0ce851f7-aa98-4a35-a629-b67dc3f6001a,陕西省宝鸡市,陕西省,宝鸡市,0ce851f7-aa98-4a35-a629-b67dc3f6001a,34.38092591,107.1490001,
ZGCS,8c20fafa-764f-4912-87f5-f10c2ad8b86d,陕西省咸阳市,陕西省,咸阳市,8c20fafa-764f-4912-87f5-f10c2ad8b86d,34.32795572,108.5912724,
ZGCS,2c50e017-880d-4d80-9a2a-43967a252f82,陕西省渭南市,陕西省,渭南市,2c50e017-880d-4d80-9a2a-43967a252f82,34.49973653,109.4930495,
ZGCS,d8774fc0-c701-401d-bc47-c5da5c00b65d,陕西省延安市,陕西省,延安市,d8774fc0-c701-401d-bc47-c5da5c00b65d,36.59653104,109.4753145,
ZGCS,0eb38753-bc94-4f4c-9342-451b20117ebf,陕西省汉中市,陕西省,汉中市,0eb38753-bc94-4f4c-9342-451b20117ebf,33.0707506,107.0248039,
ZGCS,6da1325b-7926-4b17-9a39-6692f5e0e5d0,陕西省榆林市,陕西省,榆林市,6da1325b-7926-4b17-9a39-6692f5e0e5d0,38.28873099,109.7423132,
ZGCS,3e594680-4b99-4f63-9895-f0622b8a7610,陕西省安康市,陕西省,安康市,3e594680-4b99-4f63-9895-f0622b8a7610,32.68396123,109.013958,
ZGCS,9f8e71b1-c376-457c-b26d-0c4c64e5f31a,陕西省商洛市,陕西省,商洛市,9f8e71b1-c376-457c-b26d-0c4c64e5f31a,33.87385994,109.9267367,
